"zip","city","county","pop"
"23075","Highland Springs","Henrico","9414"
"23117","Mineral","Louisa","9353"
"20181","Nokesville","Prince William","9350"
"22815","Broadway","Rockingham","9337"
"23314","Carrollton","Isle Of Wight","9261"
"24522","Appomattox","Appomattox","9206"
"22712","Bealeton","Fauquier","9094"
"24266","Lebanon","Russell","8986"
"22611","Berryville","Clarke","8954"
"22812","Bridgewater","Rockingham","8952"
"23510","Norfolk","Norfolk City","8913"
"22443","Colonial Beach","Westmoreland","8872"
"24531","Chatham","Pittsylvania","8818"
"24016","Roanoke","Roanoke City","8759"
"24416","Buena Vista","Buena Vista City","8756"
"23970","South Hill","Mecklenburg","8616"
"23024","Bumpass","Louisa","8502"
"24013","Roanoke","Roanoke City","8478"
"24148","Ridgeway","Henry","8475"
"24171","Stuart","Patrick","8327"
"24251","Gate City","Scott","8275"
"23936","Dillwyn","Buckingham","8215"
"24175","Troutville","Botetourt","8142"
"24230","Coeburn","Wise","8092"
"24605","Bluefield","Tazewell","7870"
"20141","Round Hill","Loudoun","7853"
"24590","Scottsville","Albemarle","7779"
"24091","Floyd","Floyd","7739"
"22932","Crozet","Albemarle","7721"
"20180","Lovettsville","Loudoun","7705"
"23168","Toano","James City","7703"
"24557","Gretna","Pittsylvania","7696"
"23523","Norfolk","Norfolk City","7561"
"22134","Quantico","Prince William","7537"
"24078","Collinsville","Henry","7527"
"24550","Evington","Campbell","7272"
"24319","Chilhowie","Smyth","7228"
"22572","Warsaw","Richmond","7227"
"24614","Grundy","Buchanan","7198"
"24630","North Tazewell","Tazewell","7148"
"20115","Marshall","Fauquier","7142"
"24609","Cedar Bluff","Tazewell","7136"
"23141","Quinton","New Kent","7026"
"23868","Lawrenceville","Brunswick","6986"
"24277","Pennington Gap","Lee","6906"
"23192","Montpelier","Hanover","6903"
"23604","Fort Eustis","Newport News City","6900"
"23230","Richmond","Henrico","6871"
"24370","Saltville","Smyth","6821"
"23507","Norfolk","Norfolk City","6795"
"23009","Aylett","King William","6629"
"23824","Blackstone","Nottoway","6476"
"23842","Disputanta","Prince George","6458"
"24228","Clintwood","Dickenson","6449"
"22560","Tappahannock","Essex","6435"
"23140","Providence Forge","New Kent","6431"
"22939","Fishersville","Augusta","6369"
"24054","Axton","Henry","6367"
"23665","Hampton","Hampton City","6363"
"24101","Hardy","Bedford","6290"
"22824","Edinburg","Shenandoah","6253"
"24441","Grottoes","Rockingham","6190"
"24065","Boones Mill","Franklin","6098"
"24273","Norton","Norton City","6072"
"22851","Stanley","Page","6057"
"24340","Glade Spring","Washington","6050"
"24422","Clifton Forge","Alleghany","5924"
"22973","Stanardsville","Greene","5915"
"24244","Duffield","Scott","5881"
"24263","Jonesville","Lee","5875"
"24224","Castlewood","Russell","5866"
"24586","Ringgold","Pittsylvania","5819"
"24558","Halifax","Halifax","5813"
"24360","Max Meadows","Wythe","5802"
"24361","Meadowview","Washington","5795"
"22727","Madison","Madison","5765"
"23801","Fort Lee","Prince George","5763"
"23487","Windsor","Isle Of Wight","5728"
"23089","Lanexa","New Kent","5695"
"24651","Tazewell","Tazewell","5665"
"22923","Barboursville","Orange","5653"
"22520","Montross","Westmoreland","5636"
"23924","Chase City","Mecklenburg","5625"
"23974","Victoria","Lunenburg","5608"
"24538","Concord","Campbell","5591"
"23103","Manakin Sabot","Goochland","5525"
"24641","Richlands","Tazewell","5489"
"24088","Ferrum","Franklin","5472"
"22821","Dayton","Rockingham","5428"
"22842","Mount Jackson","Shenandoah","5374"
"22427","Bowling Green","Caroline","5349"
"24260","Honaker","Russell","5340"
"22849","Shenandoah","Page","5318"
"24066","Buchanan","Botetourt","5295"
"24563","Hurt","Pittsylvania","5290"
"24482","Verona","Augusta","5267"
"24368","Rural Retreat","Wythe","5252"
"24279","Pound","Wise","5247"
"23181","West Point","King William","5232"
"24134","Pearisburg","Giles","5200"
"22974","Troy","Fluvanna","5115"
"20106","Amissville","Rappahannock","5087"
"22580","Woodford","Caroline","5074"
"22473","Heathsville","Northumberland","5061"
"24064","Blue Ridge","Botetourt","5046"
"24090","Fincastle","Botetourt","5028"
"22642","Linden","Warren","5022"
"23930","Crewe","Nottoway","4919"
"22936","Earlysville","Albemarle","4891"
"22904","Charlottesville","Charlottesville City","4834"
"22844","New Market","Shenandoah","4802"
"24124","Narrows","Giles","4785"
"23030","Charles City","Charles City","4765"
"24348","Independence","Grayson","4760"
"23040","Cumberland","Cumberland","4747"
"24517","Altavista","Campbell","4743"
"24577","Nathalie","Halifax","4720"
"23063","Goochland","Goochland","4720"
"22840","Mc Gaheysville","Rockingham","4679"
"20158","Hamilton","Loudoun","4610"
"24184","Wirtz","Franklin","4586"
"23922","Burkeville","Nottoway","4551"
"23517","Norfolk","Norfolk City","4543"
"23124","New Kent","New Kent","4526"
"23219","Richmond","Richmond City","4504"
"23421","Parksley","Accomack","4423"
"23837","Courtland","Southampton","4406"
"23890","Waverly","Sussex","4396"
"23690","Yorktown","York","4374"
"23310","Cape Charles","Northampton","4351"
"24095","Goodview","Bedford","4332"
"23437","Suffolk","Suffolk City","4308"
"22645","Middletown","Frederick","4279"
"23457","Virginia Beach","Virginia Beach City","4180"
"23927","Clarksville","Mecklenburg","4074"
"24421","Churchville","Augusta","4029"
"24574","Monroe","Amherst","4009"
"22853","Timberville","Rockingham","3982"
"22947","Keswick","Albemarle","3956"
"24554","Gladys","Campbell","3952"
"23947","Keysville","Charlotte","3927"
"23603","Newport News","Newport News City","3907"
"24317","Cana","Carroll","3903"
"22920","Afton","Nelson","3876"
"23950","La Crosse","Mecklenburg","3870"
"24127","New Castle","Craig","3860"
"23015","Beaverdam","Hanover","3853"
"20119","Catlett","Fauquier","3850"
"24430","Craigsville","Augusta","3829"
"24381","Woodlawn","Carroll","3826"
"24549","Dry Fork","Pittsylvania","3805"
"24087","Elliston","Roanoke","3789"
"23420","Painter","Accomack","3739"
"22213","Arlington","Arlington","3713"
"23696","Seaford","York","3696"
"24637","Pounding Mill","Tazewell","3683"
"23086","King William","King William","3638"
"24315","Bland","Bland","3563"
"22567","Unionville","Orange","3552"
"23350","Exmore","Northampton","3551"
"22656","Stephenson","Frederick","3527"
"22734","Remington","Fauquier","3480"
"24256","Haysi","Dickenson","3471"
"22625","Cross Junction","Frederick","3469"
"24104","Huddleston","Bedford","3452"
"23417","Onancock","Accomack","3438"
"24639","Raven","Buchanan","3412"
"24149","Riner","Montgomery","3401"
"22737","Rixeyville","Culpeper","3348"
"23958","Pamplin","Appomattox","3318"
"23102","Maidens","Goochland","3312"
"24486","Weyers Cave","Augusta","3304"
"23841","Dinwiddie","Dinwiddie","3266"
"23146","Rockville","Hanover","3257"
"22534","Partlow","Spotsylvania","3228"
"24556","Goode","Bedford","3218"
"22503","Lancaster","Lancaster","3208"
"20135","Bluemont","Loudoun","3187"
"22482","Kilmarnock","Lancaster","3173"
"24589","Scottsburg","Halifax","3170"
"22807","Harrisonburg","Harrisonburg City","3161"
"24136","Pembroke","Giles","3156"
"24528","Brookneal","Campbell","3126"
"23149","Saluda","Middlesex","3116"
"23944","Kenbridge","Lunenburg","3096"
"24236","Damascus","Washington","3092"
"23923","Charlotte Court House","Charlotte","3083"
"24330","Fries","Grayson","3078"
"23920","Brodnax","Brunswick","2975"
"24440","Greenville","Augusta","2948"
"24620","Hurley","Buchanan","2932"
"24083","Daleville","Botetourt","2910"
"24656","Vansant","Buchanan","2906"
"23336","Chincoteague Island","Accomack","2899"
"24174","Thaxton","Bedford","2898"
"24527","Blairs","Pittsylvania","2884"
"23069","Hanover","Hanover","2883"
"22728","Midland","Fauquier","2834"
"22624","Clear Brook","Frederick","2816"
"24445","Hot Springs","Bath","2798"
"23917","Boydton","Mecklenburg","2778"
"22735","Reva","Culpeper","2764"
"22841","Mount Crawford","Rockingham","2747"
"24142","Radford","Radford","2745"
"23840","Dewitt","Dinwiddie","2719"
"24216","Appalachia","Wise","2712"
"24649","Swords Creek","Russell","2705"
"24380","Willis","Floyd","2696"
"22620","Boyce","Clarke","2653"
"24053","Ararat","Patrick","2646"
"23083","Jetersville","Amelia","2616"
"24431","Crimora","Augusta","2571"
"23160","State Farm","Goochland","2557"
"23872","Mc Kenney","Dinwiddie","2549"
"23885","Sutherland","Dinwiddie","2542"
"24137","Penhook","Franklin","2530"
"22578","White Stone","Lancaster","2526"
"22576","Weems","Lancaster","2513"
"22843","Mount Solon","Augusta","2492"
"24281","Rose Hill","Lee","2483"
"22435","Callao","Northumberland","2471"
"20197","Waterford","Loudoun","2467"
"24248","Ewing","Lee","2465"
"23829","Capron","Southampton","2454"
"24092","Glade Hill","Franklin","2445"
"22637","Gore","Frederick","2443"
"24089","Fieldale","Henry","2440"
"23919","Bracey","Mecklenburg","2436"
"23888","Wakefield","Sussex","2420"
